pergunta,rótulo
"Quem venceu o BBB 2024?",1
"Qual o resultado do jogo do Palmeiras ontem?",1
"Lançamentos do Spotify em maio",1
"Quem é o presidente do Brasil em 2025?",1
"Novidades sobre inteligência artificial hoje",1
"Preço do dólar agora",1
"Que filmes estão no cinema esta semana?",1
"Quem é o papa atualmente?",1
"Explique a fotossíntese",0
"O que é a Segunda Guerra Mundial?",0
"Como funciona uma célula-tronco?",0
"Defina mitocôndria",0
"O que é o sistema solar?",0
"Qual a função do fígado no corpo humano?",0
"Quem foi Albert Einstein?",0
"Qual é a capital da França?",0
"Quem é o CEO do Twitter?",1
"Como funciona a fotossíntese nas plantas?",0
"O que é a teoria da relatividade?",0
"Qual é a moeda da Alemanha?",0
"Quem fundou a Microsoft?",0
"Como funciona o sistema imunológico?",0
"Quando foi o primeiro voo tripulado à Lua?",0
"Quem é o criador do Facebook?",0
"Quais são os benefícios do exercício físico?",0
"Qual é o time de futebol mais vitorioso do Brasil?",1
"Quais são as principais causas da mudança climática?",0
"O que é a inteligência artificial?",0
"Quem ganhou o prêmio Nobel da Paz em 2024?",1
"Como o sistema de educação funciona nos EUA?",0
"Quais são as principais invenções de Nikola Tesla?",0
"O que é o buraco negro?",0
"Quais são os principais tipos de música no Brasil?",0
"Qual é a língua oficial de Portugal?",0
"Quais países fazem parte da União Europeia?",0
"Quem foi a primeira mulher a ganhar o prêmio Nobel?",0
"Como os satélites são usados na previsão do tempo?",0
"Quando foi fundada a ONU?",0
"Qual a diferença entre um computador e um smartphone?",0
"Como funciona a inteligência emocional?",0
"Quais são os principais problemas sociais no Brasil?",0
"O que é a biodiversidade?",0
"Quem venceu a Copa do Mundo de 2018?",1
"Quais são os benefícios de uma alimentação saudável?",0
"Como funciona o mercado de ações?",0
"Quais são os principais tipos de energia renovável?",0
"Quem é o atual presidente dos Estados Unidos?",1
"O que é a teoria do Big Bang?",0
"Como o câncer é tratado?",0
"Quem foi o primeiro presidente do Brasil?",0
"Qual é a diferença entre biologia e química?",0
"O que são ondas gravitacionais?",0
"Quais são os maiores oceanos do mundo?",0
"Como o aquecimento global afeta os ecossistemas?",0
"Quem descobriu a penicilina?",0
"Quais são as principais religiões do mundo?",0
"Qual o preço do Bitcoin hoje?",1
"Quem são os indicados ao Oscar 2025?",1
"Qual o valor do dólar hoje?",1
"Quando começa a Copa do Mundo de Futebol Feminino 2025?",1
"Quais são os lançamentos de filmes para o final de 2025?",1
"Quem é o novo presidente dos Estados Unidos?",1
"Quais são as últimas notícias sobre a inteligência artificial?",1
"Quem venceu o Grammy 2025 de melhor álbum?",1
"Quais são as previsões climáticas para o Brasil em 2025?",1
"Qual é a cotação do Ethereum hoje?",1
"Quais são as últimas novidades sobre carros elétricos?",1
"Quem ganhou o prêmio Nobel de Física 2025?",1
"Quais são as tendências de moda para o outono de 2025?",1
"Quem é o atual presidente da França?",1
"Qual é a posição atual do Brasil no ranking de futebol?",1
"Quais são as inovações mais recentes no mercado de tecnologia?",1
"Quando é o próximo show do BTS?",1
"Quais são as últimas atualizações sobre a guerra na Ucrânia?",1
"Quais são as previsões econômicas para 2025?",1
"Quem são os principais candidatos ao prêmio de melhor filme do Oscar 2025?",1
"Qual é a nova programação de lançamentos do Disney+ para 2025?",1
"Quais são os resultados do Campeonato Brasileiro 2025?",1
"Qual o status da temporada da NFL 2025?",1
"Quais são as últimas notícias sobre as eleições no Reino Unido?",1
"Quais são os novos recursos do iPhone 15?",1
"Quem são os vencedores da temporada de Fórmula 1 2025?",1
"Quais são as últimas novidades em carros autônomos?",1
"Quando será lançado o novo PlayStation 6?",1
"Quais são as últimas descobertas científicas sobre Marte?",1
"Qual é o novo recorde mundial de velocidade de internet?",1
"Quem venceu o Campeonato de Futebol Europeu 2025?",1
"Quais são as inovações mais recentes em energia renovável?",1
"Quando será lançado o próximo filme da Marvel?",1
"Qual a agenda de shows da Taylor Swift para 2025?",1
"Como foi o show da lady gaga em copacabana em 2025 no coachella?",1
"Qual o lançamento do próximo iPhone?",1
"Quando começa o próximo campeonato de futebol europeu?",1
"Quem são os indicados ao Globo de Ouro 2025?",1
"Qual o valor da gasolina hoje?",1
"Quando é o próximo show da Beyoncé?",1
"Quando começa o Big Brother Brasil 2025?",1
"Qual o status da temporada de Fórmula 1 2025?",1
"Quando será a próxima eleição presidencial nos EUA?",1
"Quando acontece o próximo evento da Comic-Con?",1
"Quando será lançado o filme 'Avatar 3'?",1
"Qual a previsão de lançamento da vacina contra o câncer?",1
"Quando será o próximo eclipse solar?",1
"Qual a data do próximo lançamento da SpaceX?",1
"Quando será o próximo desfile de moda em Paris?",1
"Quando será o lançamento de 'Star Wars' - o próximo filme?",1
"Qual é a previsão de crescimento do PIB para o Brasil em 2025?",1
"Quando é o lançamento de 'Matrix 5'?",1
"Qual o placar do último jogo do Campeonato Brasileiro 2025?",1
"Quem são os líderes do Campeonato Brasileiro de Futebol 2025?",1
"Quando será lançado o próximo filme do James Bond?",1
"Qual é a data do lançamento do novo Android 15?",1
"Qual o evento histórico ocorrido em 1815?",0
"Quem foi Albert Einstein e suas descobertas?",0
"Em que ano foi assinada a Declaração de Independência dos Estados Unidos?",0
"Quem foi o primeiro homem a pisar na Lua?",0
"Em que data aconteceu o fim da Segunda Guerra Mundial?",0
"Como a invenção do telefone influenciou o mundo?",0
"O que aconteceu em 1914 que deu início à Primeira Guerra Mundial?",0
"Qual o impacto da Revolução Industrial?",0
"O que é a teoria da relatividade de Einstein?",0
"Quando foi a Revolução Francesa?",0
"O que aconteceu no Dia D da Segunda Guerra?",0
"Qual a origem da Guerra Fria?",0
"O que motivou a queda do Muro de Berlim?",0
"Qual a importância da invenção da imprensa por Gutenberg?",0
"O que foi o movimento abolicionista?",0
"Em que ano o Brasil foi descoberto?",0
"Qual é a história por trás da fundação da Roma Antiga?",0
"O que causou a crise de 1929?",0
"Quais são as causas e efeitos da Primeira Guerra Mundial?",0
"Em que data ocorreu o ataque a Pearl Harbor?",0
"Quais eventos marcaram o fim do Império Romano?",0
"Quem foi o responsável pela fundação da teoria da evolução?",0
"De onde vem a melancia?",0
"Quais as notícias de hoje?",1
"Quais as notícias de ontem?",1
"Quais as notícias desse mês?",1
"Quais as principais notícias do ano passado?",0
"Qual é a previsão do tempo para amanhã em Ribeirão Preto?",1
"Quais são os horários de funcionamento do Museu do Café em Santos?",1
"Qual é a cotação atual do dólar?",1
"Quem venceu o último jogo do Palmeiras?",1
"Quais são as últimas notícias sobre a pandemia de COVID-19?",1
"Quais são os sintomas mais recentes da gripe H1N1?",1
"Quais são os filmes em cartaz no cinema local?",1
"Qual é a taxa de juros atual do financiamento imobiliário?",1
"Quais são os eventos culturais programados para o próximo mês?",1
"Quais são os restaurantes recomendados em São Paulo?",1
"Qual é a capital do Brasil?",0
"Quem foi o primeiro presidente dos Estados Unidos?",0
"Qual é a fórmula da água?",0
"Quantos continentes existem no mundo?",0
"Quem escreveu 'Dom Casmurro'?",0
"Qual é a cor do céu em um dia claro?",0
"Qual é a distância entre a Terra e a Lua?",0
"Quem pintou a Mona Lisa?",0
"Qual é a altura do Monte Everest?",0
